"timestamp","rate"
1429142400000,0.07
1430092800000,0.067
1430956800000,0.061
1431907200000,0.056
1432684800000,0.05
1433462400000,0.05
1434412800000,0.051
1435190400000,0.049
1436140800000,0.049
1436918400000,0.049
1437696000000,0.048
1438646400000,0.048
1439424000000,0.046
1440374400000,0.041
1441152000000,0.039
1441929600000,0.037
1442880000000,0.034
1443657600000,0.027
1444608000000,0.027
1445385600000,0.019
1446163200000,0.006
1447113600000,-0.004
1447891200000,-0.019
1448841600000,-0.043
1449619200000,-0.034
1450396800000,-0.041
1451433600000,-0.041
1452470400000,-0.052
1453248000000,-0.061
1454025600000,-0.089
1454976000000,-0.109
1455753600000,-0.124
1456704000000,-0.134
1457481600000,-0.139
1458259200000,-0.131
1459382400000,-0.132
1460332800000,-0.133
1461110400000,-0.141
1461888000000,-0.141
1462838400000,-0.144
1463616000000,-0.143
1464566400000,-0.151
1465344000000,-0.16
1466121600000,-0.159
1467072000000,-0.176
1467849600000,-0.189
1468800000000,-0.191
1469577600000,-0.187
1470355200000,-0.185
1471305600000,-0.189
1472083200000,-0.192
1473033600000,-0.195
1473811200000,-0.199
1474588800000,-0.2
1475539200000,-0.202
1476316800000,-0.204
1477267200000,-0.212
1478044800000,-0.213
1478822400000,-0.21
1479772800000,-0.22
1480550400000,-0.219
1481500800000,-0.217
1482278400000,-0.216
1483315200000,-0.22
1484092800000,-0.233
1484870400000,-0.241
1485820800000,-0.243
1486598400000,-0.241
1487548800000,-0.238
1488326400000,-0.237
1489104000000,-0.241
1490054400000,-0.241
1490832000000,-0.241
1491782400000,-0.241
1492732800000,-0.249
1493769600000,-0.251
1494547200000,-0.251
1495497600000,-0.251
1496275200000,-0.254
1497225600000,-0.266
1498003200000,-0.271
1498780800000,-0.271
1499731200000,-0.273
1500508800000,-0.274
1501459200000,-0.271
1502236800000,-0.271
1503014400000,-0.271
1503964800000,-0.273
1504742400000,-0.273
1505692800000,-0.271
1506470400000,-0.273
1507248000000,-0.273
1508198400000,-0.274
1508976000000,-0.274
1509926400000,-0.276
1510704000000,-0.275
1511481600000,-0.272
1512432000000,-0.271
1513209600000,-0.271
1514332800000,-0.271
1515369600000,-0.271
1516147200000,-0.274
1516924800000,-0.278
1517875200000,-0.279
1518652800000,-0.276
1519603200000,-0.271
1520380800000,-0.272
1521158400000,-0.272
1522108800000,-0.271
1523232000000,-0.27
1524009600000,-0.271
1524787200000,-0.269
1525824000000,-0.269
1526601600000,-0.271
1527552000000,-0.269
1528329600000,-0.269
1529280000000,-0.268
1530057600000,-0.27
1530835200000,-0.27
1531785600000,-0.269
1532563200000,-0.269
1533513600000,-0.268
1534291200000,-0.266
1535068800000,-0.266
1536019200000,-0.269
1536796800000,-0.269
1537747200000,-0.267
1538524800000,-0.267
1539302400000,-0.267
1540252800000,-0.259
1541030400000,-0.258
